id,symbol,name,nameid,rank,price_usd,percent_change_24h,percent_change_1h,percent_change_7d,price_btc,market_cap_usd,volume24,volume24a,csupply,tsupply,msupply
90,BTC,Bitcoin,bitcoin,1,108715.37,-2.06,0.04,-11.45,1.00,2166115171782.70,70116854262.77333,59732472979.89911,19924646.00,19924646,21000000
80,ETH,Ethereum,ethereum,2,3920.53,-1.97,0.02,-10.30,0.036062,473223052138.32,37575588262.64708,38339746146.803085,120703849.62,122375302,
518,USDT,Tether,tether,3,1.00,-0.13,-0.16,-0.05,0.000009,171971876836.69,128080531522.06961,120214574025.18098,171937973765.30,176071778006.63,
2710,BNB,Binance Coin,binance-coin,4,1147.91,-2.83,-0.13,-9.30,0.010559,159772856706.81,3411089155.6022086,3815489703.979496,139186427.32,139186427.32,200000000
58,XRP,XRP,ripple,5,2.35,-2.78,0.61,-16.79,0.000022,140412679878.74,5761695097.052751,4535183917.59493,59777241479.00,99986586496,100000000000
48543,SOL,Solana,solana,6,185.72,-4.47,-0.09,-17.07,0.001708,100875987121.26,7613101439.022834,7244777035.699972,543155320.58,538167317.83053,
33285,USDC,USD Coin,usd-coin,7,0.999683,0.03,-0.02,0.01,0.000009,73955860297.56,11707258406.133787,11553229273.033186,73979327162.30,73979327162.301,
46971,STETH,Staked Ether,staked-ether,8,3912.61,-2.04,-0.01,-10.45,0.035989,33459485467.00,57719367.14517629,48796476.587300874,8551695.16,8551695.1641996,9901295
2713,TRX,TRON,tron,9,0.316730,-1.02,0.09,-6.16,0.000003,29983564334.09,1271854000.7997134,1328547617.367498,94666134895.32,100000000000,
2,DOGE,Dogecoin,dogecoin,10,0.189815,-3.82,0.23,-23.00,0.000002,28671069673.22,3076214229.415949,2554492623.740462,151047836384.00,151047836384,
